siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
305151409,21,1900,2018,2.0,7152000.0,1
306926684,26,1976,2018,0.0,750000.0,1
307378489,21,1976,2018,2.0,1564.0,1
308491521,21,1968,2018,1.0,5912.0,1
310967294,26,1977,2018,2.0,275980.0,1
311999833,21,1978,2018,0.0,4818000.0,1
314722026,72,1979,2018,208.0,27720541.0,0
319137576,20,1980,2018,11.0,10884384.0,0
319159877,26,1980,2018,0.0,31291000.0,0
319427399,20,1980,2018,0.0,254499.0,1
321391237,71,1981,2018,2.0,483774.0,1
325090728,22,1982,2018,1.0,0.0,1
325820751,32,1958,2018,3.0,1396000.0,1
326134699,71,1983,2018,0.0,265466.0,1
327153722,29,1983,2018,10.0,2191000.0,0
329403422,25,1984,2018,0.0,0.0,1
330263948,29,1984,2018,0.0,77968.0,1
332110097,20,1985,2018,14.0,0.0,0
333502680,20,1985,2018,1.0,0.0,1
333707669,22,1985,2018,1.0,0.0,1
333802767,72,1985,2018,11.0,1627000.0,0
338134737,72,1986,2018,0.0,2899258.0,1
339946469,25,1986,2018,6.0,1700000.0,0
340161595,22,1987,2018,0.0,1081935.0,1
341148823,25,1987,2018,1.0,0.0,1
341459386,26,1987,2018,26.0,16168000.0,0
342014990,32,1987,2018,0.0,0.0,1
342192150,29,1987,2018,93.0,3642000.0,0
342500956,71,1987,2018,0.0,0.0,0
344097902,21,1988,2018,4.0,492399.0,1
344436225,72,1988,2018,16.0,8035000.0,0
345004147,25,1988,2018,1.0,0.0,1
347721482,25,1988,2018,1.0,0.0,1
347947442,22,1988,2018,0.0,0.0,1
348195199,25,1988,2018,0.0,0.0,1
348390626,25,1988,2018,1.0,0.0,1
349357343,25,1989,2018,1.0,2220.0,1
351305180,26,1989,2018,0.0,598383.0,1
351372677,22,1989,2018,0.0,441669.0,1
351425921,25,1989,2018,3.0,0.0,1
351667928,22,1989,2018,0.0,261443.0,1
351914379,22,1989,2018,0.0,317000.0,1
352050512,30,1989,2018,44.0,8525000.0,0
352176721,71,1989,2018,3.0,3478619.0,0
352383715,30,1989,2018,59.0,26.0,0
352876197,71,1989,2018,0.0,7120000.0,0
